modo_medida,filtro,tipo_de_seqs,tipo_de_plataformas,tipo_de_modos,comparacion,r_cuadrado
counts,2,isoseq,bambu,rq,B20K80,0.8156 
counts,2,isoseq,bambu,rq,B80K20,0.8198 
counts,2,isoseq,bambu,qc,B20K80,0.8153 
counts,2,isoseq,bambu,qc,B80K20,0.82 
counts,2,isoseq,flair,rq,B20K80,0.5649 
counts,2,isoseq,flair,rq,B80K20,0.5435 
counts,2,isoseq,flair,qc,B20K80,0.5508 
counts,2,isoseq,flair,qc,B80K20,0.5263 
counts,2,isoseq,isoquant,raw,B20K80,0.6154 
counts,2,isoseq,isoquant,raw,B80K20,0.6007 
counts,2,isoseq,flair,raw,B20K80,0.5508 
counts,2,isoseq,flair,raw,B80K20,0.5263 
counts,2,isoseq,flair,fl,B20K80,0.5508 
counts,2,isoseq,flair,fl,B80K20,0.5263 
counts,2,isoseq,isoquant,qc,B20K80,0.6154 
counts,2,isoseq,isoquant,qc,B80K20,0.6007 
counts,2,isoseq,isoquant,fl,B20K80,0.6154 
counts,2,isoseq,isoquant,fl,B80K20,0.6007 
counts,2,isoseq,isoquant,rq,B20K80,0.6176 
counts,2,isoseq,isoquant,rq,B80K20,0.6029 
counts,2,masseq,isocall,qc,B20K80,0.831 
counts,2,masseq,isocall,raw,B20K80,0.831 
counts,2,masseq,isocall,fl,B20K80,0.831 
counts,2,masseq,isoseq,qc,B20K80,0.2888 
counts,2,masseq,isocall,rq,B20K80,0.8312 
counts,2,masseq,isoseq,rq,B20K80,0.2882 
counts,2,masseq,isoseq,raw,B20K80,0.2888 
counts,2,masseq,bambu,qc,B20K80,0.8218 
counts,2,masseq,isoseq,fl,B20K80,0.2888 
counts,2,masseq,bambu,raw,B20K80,0.8197 
counts,2,masseq,bambu,fl,B20K80,0.8218 
counts,2,masseq,bambu,rq,B20K80,0.8219 
counts,2,masseq,isoquant,qc,B20K80,0.5933 
counts,2,masseq,isoquant,rq,B20K80,0.5941 
counts,2,masseq,flair,rq,B20K80,0.5059 
counts,2,masseq,isoquant,raw,B20K80,0.5933 
counts,2,masseq,isoquant,fl,B20K80,0.5933 
counts,2,ont,bambu,raw,B20K80,0.7779 
counts,2,ont,bambu,raw,B80K20,0.7564 
counts,2,ont,bambu,qc,B20K80,0.7593 
counts,2,ont,bambu,qc,B80K20,0.7403 
counts,2,masseq,flair,fl,B20K80,0.4894 
counts,2,ont,bambu,fl,B20K80,0.7593 
counts,2,ont,bambu,fl,B80K20,0.7403 
counts,2,masseq,flair,raw,B20K80,0.4894 
counts,2,ont,flair,raw,B20K80,0.4513 
counts,2,ont,flair,raw,B80K20,0.405 
counts,2,masseq,flair,qc,B20K80,0.4894 
counts,2,ont,bambu,rq,B20K80,0.7531 
counts,2,ont,bambu,rq,B80K20,0.7328 
counts,2,ont,isoquant,raw,B20K80,0.5388 
counts,2,ont,isoquant,raw,B80K20,0.489 
counts,2,ont,isoquant,qc,B20K80,0.5388 
counts,2,ont,isoquant,qc,B80K20,0.489 
counts,2,ont,flair,fl,B20K80,0.4513 
counts,2,ont,flair,fl,B80K20,0.405 
counts,2,ont,isoquant,fl,B20K80,0.5388 
counts,2,ont,isoquant,fl,B80K20,0.489 
counts,2,ont,flair,qc,B20K80,0.4513 
counts,2,ont,flair,qc,B80K20,0.405 
counts,2,ont,flair,rq,B20K80,0.4497 
counts,2,ont,flair,rq,B80K20,0.402 
counts,2,ont,isoquant,rq,B20K80,0.5248 
counts,2,ont,isoquant,rq,B80K20,0.4717 
counts,3,isoseq,isoseq,raw,B20K80,0.826 
counts,3,isoseq,isoseq,raw,B80K20,0.8271 
counts,3,isoseq,isoseq,fl,B20K80,0.826 
counts,3,isoseq,isoseq,fl,B80K20,0.8271 
counts,3,isoseq,isoseq,qc,B20K80,0.826 
counts,3,isoseq,isoseq,qc,B80K20,0.8271 
counts,3,isoseq,isocall,qc,B20K80,0.9598 
counts,3,isoseq,isocall,qc,B80K20,0.9544 
counts,3,isoseq,isocall,rq,B20K80,0.9596 
counts,3,isoseq,isocall,rq,B80K20,0.9542 
counts,3,isoseq,isoseq,rq,B20K80,0.8263 
counts,3,isoseq,isoseq,rq,B80K20,0.8271 
counts,3,isoseq,isocall,raw,B20K80,0.9598 
counts,3,isoseq,isocall,raw,B80K20,0.9544 
counts,3,isoseq,isocall,fl,B20K80,0.9598 
counts,3,isoseq,isocall,fl,B80K20,0.9544 
counts,3,isoseq,bambu,raw,B20K80,0.9226 
counts,3,isoseq,bambu,raw,B80K20,0.9207 
counts,3,isoseq,bambu,qc,B20K80,0.9366 
counts,3,isoseq,bambu,qc,B80K20,0.9355 
counts,3,isoseq,bambu,rq,B20K80,0.9365 
counts,3,isoseq,bambu,rq,B80K20,0.9353 
counts,3,isoseq,bambu,fl,B20K80,0.9366 
counts,3,isoseq,bambu,fl,B80K20,0.9355 
counts,3,isoseq,flair,raw,B20K80,0.939 
counts,3,isoseq,flair,raw,B80K20,0.9401 
counts,3,isoseq,flair,qc,B20K80,0.939 
counts,3,isoseq,flair,qc,B80K20,0.9401 
counts,3,isoseq,isoquant,qc,B20K80,0.9315 
counts,3,isoseq,isoquant,qc,B80K20,0.9308 
counts,3,isoseq,isoquant,fl,B20K80,0.9315 
counts,3,isoseq,isoquant,fl,B80K20,0.9308 
counts,3,isoseq,isoquant,rq,B20K80,0.9311 
counts,3,isoseq,isoquant,rq,B80K20,0.9305 
counts,3,isoseq,flair,fl,B20K80,0.939 
counts,3,isoseq,flair,fl,B80K20,0.9401 
counts,3,isoseq,isoquant,raw,B20K80,0.9315 
counts,3,isoseq,isoquant,raw,B80K20,0.9308 
counts,3,isoseq,flair,rq,B20K80,0.9394 
counts,3,isoseq,flair,rq,B80K20,0.9406 
counts,3,masseq,isoseq,raw,B20K80,0.7987 
counts,3,masseq,isocall,rq,B20K80,0.9877 
counts,3,masseq,isoseq,qc,B20K80,0.7987 
counts,3,masseq,isocall,raw,B20K80,0.9876 
counts,3,masseq,isoseq,rq,B20K80,0.7983 
counts,3,masseq,isoseq,fl,B20K80,0.7987 
counts,3,masseq,isocall,fl,B20K80,0.9876 
counts,3,masseq,isocall,qc,B20K80,0.9876 
counts,3,masseq,bambu,qc,B20K80,0.9497 
counts,3,masseq,bambu,rq,B20K80,0.9495 
counts,3,masseq,bambu,raw,B20K80,0.8821 
counts,3,masseq,bambu,fl,B20K80,0.9497 
counts,3,masseq,isoquant,raw,B20K80,0.9448 
counts,3,masseq,isoquant,qc,B20K80,0.9448 
counts,3,masseq,flair,rq,B20K80,0.9502 
counts,3,masseq,isoquant,fl,B20K80,0.9448 
counts,3,masseq,isoquant,rq,B20K80,0.9445 
counts,3,masseq,flair,fl,B20K80,0.9495 
counts,3,ont,bambu,qc,B20K80,0.9081 
counts,3,ont,bambu,qc,B80K20,0.9041 
counts,3,ont,bambu,fl,B20K80,0.9081 
counts,3,ont,bambu,fl,B80K20,0.9041 
counts,3,masseq,flair,raw,B20K80,0.9495 
counts,3,ont,bambu,rq,B20K80,0.9042 
counts,3,ont,bambu,rq,B80K20,0.9 
counts,3,masseq,flair,qc,B20K80,0.9495 
counts,3,ont,bambu,raw,B20K80,0.8933 
